date,load_before_transmission_mw,wind_mw,solar_mw,month,day_of_month,day_of_yr,hour,week,load_w_transmission_loss_and_load_scale,critical_load_mw,therm_gen_baseline,load_after_therm_gen_baseline,total_vre_gen_mw,load_vre_diff,load_after_therm_gen_baseline_and_vre_prod,curtailment_after_therm_gen_baseline_and_vre,battery_soc_mwh,battery_curtailment_after_charge_mw,battery_discharge_mw,thermal_gen_delta_from_baseline,battery_final_thermal_prod_mw,battery_final_remaining_load_mw,battery_vre_to_grid,battery_to_load_mw,battery_curtailed_vre_mw,battery_vre_to_battery,cruise_ships_boolean,battery_curtail_available_for_cruise,gen_thermal_total_mw,thermal_gen_total_kwh,rice_fuel_cost,rice_o_and_m_cost,rice_total_cost,combustion_fuel_cost,combustion_o_and_m_cost,combustion_total_cost,h2_surplus_gen_mw,h2_production_kg,h2_h20_demand_m3,h2_compression_and_desal_demand_mw,h2_electrolyzer_load,h2_fuel_cell_power_gen_mw,h2_fuel_cell_consumption,h2_storage_state,h2_production_after_constraints,h2_combination_load_mw_colname,h2_curtailed_vre,h2_thermal_gen_delta,h2_real_thermal_prod,h2_real_remaing_load,h2_vre_to_grid,h2_fuel_cell_to_grid,h2_vre_to_h2_prod,h2_final_curtailed_vre,h2_curtail_available_for_cruise
1/1/17 0:00,35.1,1.68,0,1,1,1,0,52,35.1,11.7,31,4.1,1.68,33.42,2.42,0,177.1,0.345714286,0,-0.345714286,30.65428571,4.445714286,1.68,2.765714286,0,0,FALSE,0,33.42,33420,5906.804676,350.91,6257.714676,10627.07914,153.732,10780.81114,0,0,0,0,0,2.42,121.0706245,55428.92938,0,0,0,0,35,4.1,1.68,2.42,0,0,0
1/1/17 1:00,35.1,1.23,0,1,1,1,1,52,35.1,11.7,31,4.1,1.23,33.87,2.87,0,173.9,0.41,3.28,-0.41,30.59,4.51,1.23,3.28,0,0,FALSE,0,33.87,33870,5986.339748,355.635,6341.974748,10770.17266,155.802,10925.97466,0,0,0,0,0,2.87,143.5837572,55285.34562,0,0,0,0,35,4.1,1.23,2.87,0,0,0
1/1/17 2:00,34.6,1.09,0,1,1,1,2,52,34.6,11.53333333,31,3.6,1.09,33.51,2.51,0,171.0,0.358571429,2.868571429,-0.358571429,30.64142857,3.958571429,1.09,2.868571429,0,0,FALSE,0,33.51,33510,5922.711691,351.855,6274.566691,10655.69784,154.146,10809.84384,0,0,0,0,0,2.51,125.5732511,55159.77237,0,0,0,0,34.6,3.6,1.09,2.51,0,0,0
1/1/17 3:00,34.2,1.47,0,1,1,1,3,52,34.2,11.4,31,3.2,1.47,32.73,1.73,0,169.0,0.247142857,1.977142857,-0.247142857,30.75285714,3.447142857,1.47,1.977142857,0,0,FALSE,0,32.73,32730,5784.850899,343.665,6128.515899,10407.66906,150.558,10558.22706,0,0,0,0,0,1.73,86.55048778,55073.22188,0,0,0,0,34.2,3.2,1.47,1.73,0,0,0
1/1/17 4:00,33.8,1.12,0,1,1,1,4,52,33.8,11.26666667,31,2.8,1.12,32.68,1.68,0,167.1,0.24,1.92,-0.24,30.76,3.04,1.12,1.92,0,0,FALSE,0,32.68,32680,5776.013669,343.14,6119.153669,10391.76978,150.328,10542.09778,0,0,0,0,0,1.68,84.0490286,54989.17285,0,0,0,0,33.8,2.8,1.12,1.68,0,0,0
1/1/17 5:00,33.4,0.91,0,1,1,1,5,52,33.4,11.13333333,31,2.4,0.91,32.49,1.49,0,165.4,0.212857143,1.702857143,-0.212857143,30.78714286,2.612857143,0.91,1.702857143,0,0,FALSE,0,32.49,32490,5742.432194,341.145,6083.577194,10331.35252,149.454,10480.80652,0,0,0,0,0,1.49,74.5434837,54914.62937,0,0,0,0,33.4,2.4,0.91,1.49,0,0,0
1/1/17 6:00,33.3,1.84,0,1,1,1,6,52,33.3,11.1,31,2.3,1.84,31.46,0.46,0,164.9,0.065714286,0.525714286,-0.065714286,30.93428571,2.365714286,1.84,0.525714286,0,0,FALSE,0,31.46,31460,5560.385252,330.33,5890.715252,10003.82734,144.716,10148.54334,0,0,0,0,0,0.46,23.0134245,54891.61594,0,0,0,0,33.3,2.3,1.84,0.46,0,0,0
1/1/17 7:00,33.8,1.59,6.8978,1,1,1,7,52,33.8,11.26666667,31,2.8,8.4878,25.3122,0,5.6878,170.6,0,0,0,31,2.8,2.8,0,0,0,FALSE,0,25.3122,25312.2,4473.794773,265.7781,4739.572873,8048.915396,116.43612,8165.351516,5.6878,95.65475388,1.647191334,0.38558396,5.30221604,0,0,54987.2707,95.65475388,5.6878,0,0,33.8,2.8,2.8,0,5.6878,-1.53E-13,0
1/1/17 8:00,34.7,1.18,21.3585,1,1,1,8,52,34.7,11.56666667,31,3.7,22.5385,12.1615,0,18.8385,189.4,0,0,0,31,3.7,3.7,0,0,0,TRUE,0,12.1615,12161.5,2149.479505,127.69575,2277.175255,3867.182014,55.9429,3923.124914,18.8385,316.8170613,5.455644351,1.277088405,17.5614116,0,0,55304.08776,316.8170613,18.8385,0,0,33.61810568,3.7,3.7,0,18.8385,-3.55E-14,0
1/1/17 9:00,34.7,0.78,27.9603,1,1,1,9,52,34.7,11.56666667,31,3.7,28.7403,5.9597,0,25.0403,214.4,0,0,0,31,3.7,3.7,0,0,0,TRUE,0,5.9597,5959.7,1053.344818,62.57685,1115.921668,1895.098849,27.41462,1922.513469,25.0403,421.1160262,7.251690487,1.697517148,23.34278285,0,0,55725.20378,421.1160262,25.0403,0,0,27.41168368,3.7,3.7,0,25.0403,0,0
