Date,"Load, MW","Wind, MW","Solar, MW","VRE, MW"
1/1/17 0:00,35.1,1.67966,-0.007,1.673
1/1/17 1:00,35.1,1.67966,-0.007,1.673
1/1/17 2:00,34.6,1.23327,-0.007,1.226
1/1/17 3:00,34.2,1.09193,-0.007,1.085
1/1/17 4:00,33.8,1.4651,-0.007,1.458
1/1/17 5:00,33.4,1.12029,-0.007,1.113
1/1/17 6:00,33.3,0.913553,-0.007,0.907
1/1/17 7:00,33.8,1.84129,-0.007,1.834
1/1/17 8:00,34.7,1.59375,3.126,4.72
1/1/17 9:00,34.7,1.17778,9.952,11.129
1/1/17 10:00,40.7,0.782468,10.214,10.996
1/1/17 11:00,41.4,0.8731,19.489,20.362
1/1/17 12:00,43.7,0.85985,15.049,15.909
1/1/17 13:00,43.4,0.913911,15.754,16.667
1/1/17 14:00,42.9,0.807334,21.224,22.032
1/1/17 15:00,43.3,0.891037,18.635,19.526
1/1/17 16:00,44.9,0.410643,10.088,10.499
1/1/17 17:00,44,0.0315464,8.395,8.426
1/1/17 18:00,44,0.139159,1.361,1.5
1/1/17 19:00,45.5,0.350356,-0.007,0.343
1/1/17 20:00,46.5,1.29384,-0.007,1.287
1/1/17 21:00,45,3.07827,-0.007,3.071
1/1/17 22:00,41.7,5.53511,-0.007,5.528
1/1/17 23:00,39.6,3.96904,-0.007,3.962
1/2/17 0:00,37.4,5.34132,-0.007,5.334
1/2/17 1:00,36.2,5.21302,-0.007,5.206
1/2/17 2:00,34.9,7.50765,-0.007,7.501
1/2/17 3:00,34.2,6.42042,-0.007,6.413
1/2/17 4:00,33.7,5.90593,-0.007,5.899
1/2/17 5:00,33.2,6.50801,-0.007,6.501
1/2/17 6:00,34.6,5.16874,-0.007,5.162
1/2/17 7:00,37.3,5.18591,-0.007,5.179
1/2/17 8:00,40.3,4.81969,3.016,7.836
1/2/17 9:00,42.7,5.08169,10.033,15.115
1/2/17 10:00,45.6,5.10998,15.689,20.799
1/2/17 11:00,46.8,6.80152,19.572,26.374
1/2/17 12:00,48,7.65448,21.945,29.6
1/2/17 13:00,47.3,7.26135,19.663,26.924
1/2/17 14:00,49.2,6.32709,21.355,27.682
1/2/17 15:00,46.5,7.46139,18.681,26.142
1/2/17 16:00,47.4,6.70464,14.41,21.114
1/2/17 17:00,48.1,5.25114,8.414,13.665
1/2/17 18:00,47.2,4.42559,1.378,5.804
1/2/17 19:00,47.2,3.96963,-0.007,3.963
1/2/17 20:00,47.5,2.43422,-0.007,2.427
1/2/17 21:00,44.9,3.32314,-0.007,3.316
1/2/17 22:00,44.1,2.46027,-0.007,2.453
1/2/17 23:00,40.5,2.06539,-0.007,2.058
1/3/17 0:00,38.4,3.18327,-0.007,3.176
1/3/17 1:00,35.8,3.1161,-0.007,3.109
1/3/17 2:00,35.1,3.28853,-0.007,3.282
1/3/17 3:00,34.1,3.42761,-0.007,3.421
1/3/17 4:00,33.3,2.98726,-0.007,2.98
1/3/17 5:00,33.1,2.21809,-0.007,2.211
1/3/17 6:00,33.3,2.59326,-0.007,2.586
1/3/17 7:00,37.5,2.7175,-0.007,2.71
1/3/17 8:00,40.4,3.0719,2.953,6.025
1/3/17 9:00,41.6,2.588,4.609,7.197
1/3/17 10:00,45.3,3.21721,15.513,18.73
