Date,"Load, MW","Wind, MW","Solar, MW","VRE, MW"
1/1/17 0:00,35.1,1.68,-0.0152,1.673
1/1/17 1:00,35.1,1.23,-0.0152,1.673
1/1/17 2:00,34.6,1.09,-0.0152,1.226
1/1/17 3:00,34.2,1.47,-0.0152,1.085
1/1/17 4:00,33.8,1.12,-0.0152,1.458
1/1/17 5:00,33.4,0.91,-0.0152,1.113
1/1/17 6:00,33.3,1.84,-0.0152,0.907
1/1/17 7:00,33.8,1.59,6.8978,1.834
1/1/17 8:00,34.7,1.18,21.3585,4.72
1/1/17 9:00,34.7,0.78,27.9603,11.129
1/1/17 10:00,40.7,0.87,41.7277,10.996
1/1/17 11:00,41.4,0.86,39.6265,20.362
1/1/17 12:00,43.7,0.91,41.0319,15.909
1/1/17 13:00,43.4,0.81,45.3001,16.667
1/1/17 14:00,42.9,0.89,39.6748,22.032
1/1/17 15:00,43.3,0.41,26.1485,19.526
1/1/17 16:00,44.9,0.03,17.5953,10.499
1/1/17 17:00,44,0.14,2.9462,8.426
1/1/17 18:00,44,0.35,-0.0152,1.5
1/1/17 19:00,45.5,1.29,-0.0152,0.343
1/1/17 20:00,46.5,3.08,-0.0152,1.287
1/1/17 21:00,45,5.54,-0.0152,3.071
1/1/17 22:00,41.7,3.97,-0.0152,5.528
1/1/17 23:00,39.6,5.34,-0.0152,3.962
1/2/17 0:00,37.4,5.21,-0.0152,5.334
1/2/17 1:00,36.2,7.51,-0.0152,5.206
1/2/17 2:00,34.9,6.42,-0.0152,7.501
1/2/17 3:00,34.2,5.91,-0.0152,6.413
1/2/17 4:00,33.7,6.51,-0.0152,5.899
1/2/17 5:00,33.2,5.17,-0.0152,6.501
1/2/17 6:00,34.6,5.19,-0.0152,5.162
1/2/17 7:00,37.3,4.82,6.4943,5.179
1/2/17 8:00,40.3,5.08,21.2385,7.836
1/2/17 9:00,42.7,5.11,33.4175,15.115
1/2/17 10:00,45.6,6.80,41.8097,20.799
1/2/17 11:00,46.8,7.65,46.9957,26.374
1/2/17 12:00,48,7.26,45.3829,29.6
1/2/17 13:00,47.3,6.33,45.7660,26.924
1/2/17 14:00,49.2,7.46,39.9536,27.682
1/2/17 15:00,46.5,6.70,30.6894,26.142
1/2/17 16:00,47.4,5.25,17.8463,21.114
1/2/17 17:00,48.1,4.43,3.1615,13.665
1/2/17 18:00,47.2,3.97,-0.0152,5.804
1/2/17 19:00,47.2,2.43,-0.0152,3.963
1/2/17 20:00,47.5,3.32,-0.0152,2.427
1/2/17 21:00,44.9,2.46,-0.0152,3.316
1/2/17 22:00,44.1,2.07,-0.0152,2.453
1/2/17 23:00,40.5,3.18,-0.0152,2.058
1/3/17 0:00,38.4,3.12,-0.0152,3.176
1/3/17 1:00,35.8,3.29,-0.0152,3.109
1/3/17 2:00,35.1,3.43,-0.0152,3.282
1/3/17 3:00,34.1,2.99,-0.0152,3.421
1/3/17 4:00,33.3,2.22,-0.0152,2.98
1/3/17 5:00,33.1,2.59,-0.0152,2.211
1/3/17 6:00,33.3,2.72,-0.0152,2.586
1/3/17 7:00,37.5,3.07,6.3702,2.71
1/3/17 8:00,40.4,2.59,6.2057,6.025
1/3/17 9:00,41.6,3.22,32.8464,7.197
1/3/17 10:00,45.3,2.55,36.1934,18.73
1/3/17 11:00,46.3,2.74,42.9290,16.971
1/3/17 12:00,47.4,4.75,12.2718,21.295
1/3/17 13:00,48.1,5.51,24.0811,10.674
1/3/17 14:00,48.1,8.65,19.5309,19.161
1/3/17 15:00,48.2,8.30,7.2963,20.073
1/3/17 16:00,48.7,5.06,17.6858,14.383
1/3/17 17:00,48.7,5.05,3.2183,13.525
1/3/17 18:00,47.6,2.83,-0.0152,6.549
1/3/17 19:00,47.9,3.19,-0.0152,2.819
1/3/17 20:00,47.8,2.22,-0.0152,3.183
1/3/17 21:00,46.4,1.91,-0.0152,2.21
1/3/17 22:00,44.6,2.25,-0.0152,1.906
1/3/17 23:00,41.8,3.66,-0.0152,2.239
1/4/17 0:00,38.8,6.75,-0.0152,3.653
1/4/17 1:00,36.2,9.52,-0.0152,6.742
1/4/17 2:00,35,8.38,-0.0152,9.518
1/4/17 3:00,34,4.59,-0.0152,8.368
1/4/17 4:00,33.1,3.65,-0.0152,4.583
1/4/17 5:00,32.8,3.39,-0.0152,3.645
1/4/17 6:00,33.7,3.76,-0.0152,3.38
1/4/17 7:00,36.7,4.08,6.6714,3.751
1/4/17 8:00,40.9,3.96,21.2536,7.292
1/4/17 9:00,42,6.34,28.5425,14.102
1/4/17 10:00,46.1,6.38,35.5302,17.234
1/4/17 11:00,46.3,4.13,42.1060,19.725
1/4/17 12:00,46,2.43,48.0122,21.395
1/4/17 13:00,44.3,3.71,39.3189,24.843
1/4/17 14:00,45,3.99,39.9467,18.661
1/4/17 15:00,46.9,3.46,12.5680,22.736
1/4/17 16:00,48.8,3.01,4.8624,11.458
1/4/17 17:00,47.8,1.74,3.4646,6.889
1/4/17 18:00,47.5,2.33,-0.0152,3.379
1/4/17 19:00,48,3.09,-0.0152,2.321
1/4/17 20:00,48.1,4.97,-0.0152,3.078
1/4/17 21:00,45.8,5.07,-0.0152,4.961
1/4/17 22:00,43.8,6.51,-0.0152,5.065
1/4/17 23:00,40.2,5.11,-0.0152,6.505
